timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB]
2025-12-11 01:54:05.3,40,34,23,12683
2025-12-11 01:54:05.8,39,31,20,12683
2025-12-11 01:54:06.4,38,46,30,12683
2025-12-11 01:54:07.0,38,38,26,12683
2025-12-11 01:54:07.5,39,42,28,12683
2025-12-11 01:54:08.0,38,40,27,12683
2025-12-11 01:54:08.6,40,36,25,12683
2025-12-11 01:54:09.2,39,40,27,12683
2025-12-11 01:54:09.7,39,46,30,12683
2025-12-11 01:54:10.3,39,36,23,12683
2025-12-11 01:54:10.9,39,37,25,12683
2025-12-11 01:54:11.4,39,36,23,12683
2025-12-11 01:54:12.0,39,56,39,12683
2025-12-11 01:54:12.5,40,41,27,12683
2025-12-11 01:54:13.1,40,42,28,12683
2025-12-11 01:54:13.6,37,36,25,12683
2025-12-11 01:54:14.2,39,30,17,12683
2025-12-11 01:54:14.7,39,42,27,12683
2025-12-11 01:54:15.3,39,34,23,12683
2025-12-11 01:54:15.8,41,33,21,12683
2025-12-11 01:54:16.4,40,34,24,12683
2025-12-11 01:54:17.0,39,43,29,12683
2025-12-11 01:54:17.5,40,41,26,12683
2025-12-11 01:54:18.0,42,49,31,19953
2025-12-11 01:54:18.5,40,47,29,19953
2025-12-11 01:54:19.1,40,32,20,19953
2025-12-11 01:54:19.7,40,41,26,19953
2025-12-11 01:54:20.2,41,35,22,19959
2025-12-11 01:54:20.8,40,46,32,19959
2025-12-11 01:54:21.3,40,41,27,19959
2025-12-11 01:54:21.9,40,39,25,19959
2025-12-11 01:54:22.4,40,40,26,19959
2025-12-11 01:54:23.0,39,39,25,19959
2025-12-11 01:54:23.5,41,46,30,19959
2025-12-11 01:54:24.1,38,12,6,19959
2025-12-11 01:54:24.6,37,0,0,19959
2025-12-11 01:54:25.2,37,0,0,19959
2025-12-11 01:54:25.7,36,0,0,19959
2025-12-11 01:54:26.3,36,0,0,19959
2025-12-11 01:54:26.8,36,0,0,19959
2025-12-11 01:54:27.4,36,0,0,19959
2025-12-11 01:54:27.9,36,0,0,19959
2025-12-11 01:54:28.4,36,0,0,19959
2025-12-11 01:54:29.0,36,0,0,19959
2025-12-11 01:54:29.5,36,0,0,19959
2025-12-11 01:54:30.1,36,0,0,19959
2025-12-11 01:54:30.7,35,0,0,19959
2025-12-11 01:54:31.2,35,0,0,19959
2025-12-11 01:54:31.8,35,0,0,19959
2025-12-11 01:54:32.3,35,0,0,19959
2025-12-11 01:54:32.9,35,0,0,19959
2025-12-11 01:54:33.5,35,0,0,19959
2025-12-11 01:54:34.0,35,0,0,19959
2025-12-11 01:54:34.5,35,0,0,19959
2025-12-11 01:54:35.1,35,0,0,19959
2025-12-11 01:54:35.6,35,0,0,19959
2025-12-11 01:54:36.2,35,0,0,19959
2025-12-11 01:54:36.7,37,34,23,19959
2025-12-11 01:54:37.3,39,35,24,19959
2025-12-11 01:54:37.8,37,49,34,19959
2025-12-11 01:54:38.4,39,35,24,19959
2025-12-11 01:54:38.9,39,42,28,19959
2025-12-11 01:54:39.5,40,37,25,19959
2025-12-11 01:54:40.0,38,37,25,19959
2025-12-11 01:54:40.6,39,32,19,19959
2025-12-11 01:54:41.1,40,37,25,19959
2025-12-11 01:54:41.7,39,42,27,19959
2025-12-11 01:54:42.2,38,36,25,19959
2025-12-11 01:54:42.8,40,35,25,19959
2025-12-11 01:54:43.3,38,36,24,19959
2025-12-11 01:54:43.9,39,45,30,19959
2025-12-11 01:54:44.5,39,47,30,19959
2025-12-11 01:54:45.0,39,36,25,19959
2025-12-11 01:54:45.6,41,36,25,19959
2025-12-11 01:54:46.1,39,45,31,19959
2025-12-11 01:54:46.7,40,44,30,19959
2025-12-11 01:54:47.2,39,41,27,19959
2025-12-11 01:54:47.8,40,42,27,19959
2025-12-11 01:54:48.3,39,41,27,19959
2025-12-11 01:54:48.9,40,34,20,19959
2025-12-11 01:54:49.4,41,50,34,19959
2025-12-11 01:54:49.9,41,35,23,19959
2025-12-11 01:54:50.5,40,35,23,19959
2025-12-11 01:54:51.0,39,38,25,19959
2025-12-11 01:54:51.6,39,41,26,19959
2025-12-11 01:54:52.1,41,46,31,19959
2025-12-11 01:54:52.6,41,36,25,19959
2025-12-11 01:54:53.2,39,40,26,19959
2025-12-11 01:54:53.7,41,42,27,19959
2025-12-11 01:54:54.2,39,34,21,19959
2025-12-11 01:54:54.8,40,47,31,19959
2025-12-11 01:54:55.3,40,36,25,19959
2025-12-11 01:54:55.8,40,40,27,19959
2025-12-11 01:54:56.4,40,37,25,19959
2025-12-11 01:54:56.9,41,38,26,19959
2025-12-11 01:54:57.5,40,43,28,19959
2025-12-11 01:54:58.0,40,41,27,19959
2025-12-11 01:54:58.6,40,47,31,19959
