timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB]
2025-12-11 01:46:16.0,33,0,0,12683
2025-12-11 01:46:16.6,33,0,0,12683
2025-12-11 01:46:17.1,33,0,0,12683
2025-12-11 01:46:17.7,33,0,0,12683
2025-12-11 01:46:18.2,33,0,0,12683
2025-12-11 01:46:18.8,33,0,0,12683
2025-12-11 01:46:19.3,33,0,0,12683
2025-12-11 01:46:19.9,32,0,0,12683
2025-12-11 01:46:20.4,32,0,0,12683
2025-12-11 01:46:20.9,32,0,0,12683
2025-12-11 01:46:21.5,32,0,0,12683
2025-12-11 01:46:22.0,32,0,0,12683
2025-12-11 01:46:22.5,32,0,0,12683
2025-12-11 01:46:23.1,32,0,0,12683
2025-12-11 01:46:23.7,32,0,0,12683
2025-12-11 01:46:24.2,32,0,0,12683
2025-12-11 01:46:24.7,32,0,0,12683
2025-12-11 01:46:25.2,32,0,0,12683
2025-12-11 01:46:25.8,32,0,0,12683
2025-12-11 01:46:26.4,32,0,0,12683
2025-12-11 01:46:26.9,32,0,0,12683
2025-12-11 01:46:27.4,32,0,0,12683
2025-12-11 01:46:28.0,32,0,0,12683
2025-12-11 01:46:28.5,32,0,0,12683
2025-12-11 01:46:29.1,32,0,0,12683
2025-12-11 01:46:29.6,32,0,0,12683
2025-12-11 01:46:30.2,32,0,0,12683
2025-12-11 01:46:30.7,32,0,0,12683
2025-12-11 01:46:31.3,32,0,0,12683
2025-12-11 01:46:31.8,32,0,0,12683
2025-12-11 01:46:32.4,32,0,0,12683
2025-12-11 01:46:32.9,32,0,0,12683
2025-12-11 01:46:33.4,32,0,0,12683
2025-12-11 01:46:34.0,32,0,0,12683
2025-12-11 01:46:34.5,32,0,0,12683
2025-12-11 01:46:35.1,32,0,0,12683
2025-12-11 01:46:35.6,32,0,0,12683
2025-12-11 01:46:36.2,32,0,0,12683
2025-12-11 01:46:36.8,32,0,0,12683
2025-12-11 01:46:37.3,32,0,0,12683
2025-12-11 01:46:37.8,32,0,0,12683
2025-12-11 01:46:38.4,32,0,0,12683
2025-12-11 01:46:39.0,32,0,0,12683
2025-12-11 01:46:39.5,32,0,0,12683
2025-12-11 01:46:40.1,32,0,0,12683
2025-12-11 01:46:40.6,32,0,0,12683
2025-12-11 01:46:41.2,32,0,0,12683
2025-12-11 01:46:41.7,32,0,0,12683
2025-12-11 01:46:42.2,32,0,0,12683
2025-12-11 01:46:42.8,32,0,0,12683
2025-12-11 01:46:43.4,32,0,0,12683
2025-12-11 01:46:43.9,32,0,0,12683
2025-12-11 01:46:44.4,32,0,0,12683
2025-12-11 01:46:45.0,32,0,0,12683
2025-12-11 01:46:45.6,32,0,0,12683
2025-12-11 01:46:46.1,32,0,0,12683
2025-12-11 01:46:46.7,32,0,0,12683
2025-12-11 01:46:47.2,32,0,0,12683
2025-12-11 01:46:47.8,32,0,0,12683
2025-12-11 01:46:48.3,32,0,0,12683
2025-12-11 01:46:48.8,32,0,0,12683
2025-12-11 01:46:49.4,32,0,0,12683
2025-12-11 01:46:49.9,32,0,0,12683
2025-12-11 01:46:50.5,32,0,0,12683
2025-12-11 01:46:51.0,32,0,0,12683
2025-12-11 01:46:51.6,32,0,0,12683
2025-12-11 01:46:52.1,32,0,0,12683
2025-12-11 01:46:52.6,32,0,0,12683
2025-12-11 01:46:53.2,32,0,0,12683
2025-12-11 01:46:53.7,32,0,0,12683
2025-12-11 01:46:54.3,32,0,0,12683
2025-12-11 01:46:54.9,32,0,0,12683
2025-12-11 01:46:55.4,32,0,0,12683
2025-12-11 01:46:56.0,32,0,0,12683
2025-12-11 01:46:56.5,32,0,0,12683
2025-12-11 01:46:57.1,32,0,0,12683
2025-12-11 01:46:57.6,32,0,0,12683
2025-12-11 01:46:58.2,32,0,0,12683
2025-12-11 01:46:58.7,32,0,0,12683
2025-12-11 01:46:59.3,32,0,0,12683
2025-12-11 01:46:59.8,31,0,0,12683
2025-12-11 01:47:00.3,32,0,0,12683
2025-12-11 01:47:00.9,31,0,0,12683
